Tanggal,Waktu(UTC),Lintang,Bujur,Kedalaman(KM),Magnitudo(SR)
1/7/2018,10:45:49,2.46,96.07,54,3.0
1/7/2018,11:05:42,0.93,121.83,30,1.8
1/7/2018,11:15:47,4.25,126.71,11,4.4
1/7/2018,11:21:47,0.13,122.35,98,2.2
1/7/2018,13:56:08,-8.61,118.31,123,3.4
1/7/2018,14:32:24,-0.99,131.19,17,2.3
1/7/2018,14:46:42,-1.42,120.41,10,2.6
1/7/2018,14:51:04,4.09,126.6,10,4.0
1/7/2018,16:18:49,-7.92,117.3,30,2.7
1/7/2018,16:29:09,-3.51,131.37,68,3.3
1/7/2018,16:43:03,-3.44,131.35,52,2.8
1/7/2018,18:02:45,0.1,121.94,157,2.8
1/7/2018,19:42:46,-1.35,120.4,10,2.7
1/7/2018,20:57:16,1.81,122.34,36,2.8
1/7/2018,21:03:49,-6.73,104.86,20,3.5
1/7/2018,21:10:25,0.1,98.77,10,2.8
1/7/2018,23:09:46,1.8,96.95,41,4.1
1/7/2018,23:59:25,-8.24,117.56,239,3.4
1/8/2018,00:57:15,-3.39,131.25,28,3.6
1/8/2018,02:30:12,4.28,94.89,10,4.5
1/8/2018,02:59:03,-8.59,119.03,10,2.6
1/8/2018,03:44:40,-9.95,124.2,10,3.4
1/8/2018,04:34:45,0.47,121.64,65,2.6
1/8/2018,07:03:06,-6.51,104.77,10,3.7
1/8/2018,07:15:43,0.33,122.78,10,3.0
1/8/2018,08:05:13,-0.11,132.73,24,3.9
1/8/2018,08:08:34,-8.99,114.96,10,2.2
1/8/2018,08:09:28,0.44,121.29,65,4.4
1/8/2018,08:13:45,-3.29,131.2,20,4.2
1/8/2018,08:25:41,-8.69,118.35,113,3.1
1/8/2018,08:26:08,-2.96,118.62,10,2.6
1/8/2018,08:29:47,-8.46,108.44,21,3.7
1/8/2018,08:57:07,-0.8,130.99,10,2.3
1/8/2018,09:08:21,-9.08,121.99,10,2.7
1/8/2018,09:23:06,-3.4,131.15,49,3.4
1/8/2018,09:31:46,1.91,123.9,287,4.0
1/8/2018,10:30:05,-9.58,117.51,24,3.7
1/8/2018,10:41:05,-3.66,138.37,62,4.4
1/8/2018,12:13:55,3.24,128.18,128,4.1
1/8/2018,13:01:03,0.05,122.23,122,2.4
1/8/2018,13:13:36,0.52,121.17,58,2.7
1/8/2018,13:25:10,0.86,122.63,23,2.8
1/8/2018,13:28:14,-7.91,118.75,14,2.5
1/8/2018,14:08:14,0.9,122.71,50,2.4
1/8/2018,14:09:49,2.83,126.81,50,5.0
1/8/2018,15:38:35,-1.28,120.42,10,3.3
1/8/2018,15:51:04,2.55,95.78,16,4.6
1/8/2018,18:54:40,1.02,121.05,10,2.4
1/8/2018,19:46:10,-2.31,128.11,65,3.7
1/8/2018,20:17:23,-6.88,129.83,201,4.6
1/8/2018,20:37:20,0.61,122.3,52,2.4
1/8/2018,21:57:14,0.59,121.87,173,1.9
1/8/2018,22:11:12,1.87,121.86,10,2.3
1/8/2018,22:29:44,-0.3,124.84,10,3.5
1/8/2018,22:53:08,-9.23,114.54,139,3.4
1/9/2018,03:56:08,1.27,121.34,10,2.3
1/9/2018,04:17:16,-5.46,103.46,26,3.0
1/9/2018,05:40:06,-3.87,133.77,18,4.2
1/9/2018,05:42:42,-2.45,120.96,10,3.3
1/9/2018,06:12:33,-3.56,131.42,17,4.0
1/9/2018,08:54:30,-5.79,131.04,76,4.2
1/9/2018,09:19:58,-10.42,112.26,10,4.1
1/9/2018,09:23:43,-10.89,112.2,10,4.1
1/9/2018,10:43:24,-4.2,129.43,149,3.6
1/9/2018,12:31:46,-7.81,122.2,301,3.7
1/9/2018,13:11:06,-3.59,119.26,12,2.0
1/9/2018,14:02:43,-0.5,125.53,12,4.0
1/9/2018,14:12:26,3.87,127.13,10,4.1
1/9/2018,15:36:01,-2.76,129.49,67,3.9
1/9/2018,15:58:43,0.22,125.92,56,3.9
1/9/2018,17:15:50,0.4,120.66,81,2.3
1/9/2018,17:18:05,-8.72,118.12,10,2.5
1/9/2018,17:19:32,-8.71,118.13,10,2.7
1/9/2018,17:58:30,3.07,126.44,31,3.6
1/9/2018,18:14:28,-7.81,118.1,29,3.0
1/9/2018,19:23:18,0.57,122.04,89,3.6
1/10/2018,00:57:57,-10.01,119.2,13,3.9
1/10/2018,01:30:24,1.01,123.25,10,3.0
1/10/2018,02:04:17,-0.71,131.06,10,2.8
1/10/2018,02:43:27,-2.36,102.3,185,3.8
1/10/2018,03:27:16,-11.25,115.02,10,4.5
1/10/2018,03:38:29,-0.38,125.58,10,4.0
1/10/2018,03:41:48,-9.65,123.06,17,3.3
1/10/2018,04:12:00,-7.75,106.64,59,3.0
1/10/2018,04:45:32,-7.04,105.75,48,3.8
1/10/2018,04:55:24,-10.23,116.41,26,3.6
1/10/2018,04:59:43,1.36,128.63,10,4.1
1/10/2018,05:08:33,0.12,125.89,10,3.4
1/10/2018,09:17:54,-7.49,106.82,100,2.7
1/10/2018,09:51:01,-0.02,122.14,110,2.4
1/10/2018,11:08:35,4.29,94.98,58,4.0
1/10/2018,11:40:57,2.3,126.8,49,4.9
1/10/2018,11:52:42,-8.28,120.21,181,3.6
1/10/2018,12:15:30,-10.66,112.22,10,4.3
1/10/2018,12:28:53,-0.38,123.18,51,2.9
1/10/2018,12:36:00,-0.01,126.8,29,2.9
1/10/2018,12:40:55,-10.5,112.29,10,4.0
1/10/2018,13:04:20,1.78,122.38,28,2.0
1/10/2018,13:13:00,-8.91,109.11,26,4.5
1/10/2018,13:19:44,-7.91,117.58,297,3.8
1/10/2018,13:32:44,-9.59,121.89,16,3.6
1/10/2018,13:45:36,-8.87,116.91,12,2.6
1/10/2018,14:09:16,1.36,125.74,22,3.1
1/10/2018,14:19:24,-0.59,130.83,31,1.6
1/10/2018,14:51:53,-5.21,130.06,217,3.9
1/10/2018,15:05:11,-8.48,117.94,146,3.7
1/10/2018,15:13:53,-1.08,130.84,10,2.6
1/10/2018,15:15:55,-0.59,131.24,10,2.0
1/10/2018,15:42:19,-3.31,127.01,10,3.0
1/10/2018,16:36:05,0.91,125.47,18,3.2
1/10/2018,17:32:42,-8.62,118.14,10,3.3
1/10/2018,17:33:29,-0.93,130.57,12,1.9
1/10/2018,17:52:02,-0.15,130.39,53,1.9
1/10/2018,18:02:03,-3.36,127.0,10,3.2
1/10/2018,18:06:23,-7.9,117.47,11,4.4
1/10/2018,18:23:33,-0.76,131.46,10,1.3
1/10/2018,19:59:39,-3.35,135.4,72,3.8
1/10/2018,20:53:37,1.18,98.91,87,4.2
1/10/2018,23:31:56,1.3,121.38,10,2.1
1/11/2018,00:22:09,-3.33,99.48,43,4.3
1/11/2018,02:03:45,-9.72,121.58,104,4.7
1/11/2018,02:19:40,-4.98,127.05,33,4.4
1/11/2018,03:23:48,-4.23,129.62,10,3.8
1/11/2018,06:30:27,1.22,121.74,16,2.0
1/11/2018,09:38:24,-0.47,131.84,10,3.7
1/11/2018,09:42:21,-2.42,121.3,10,3.2
1/11/2018,09:43:11,-7.52,128.66,174,4.7
1/11/2018,10:31:00,-4.43,129.78,174,4.2
1/11/2018,10:47:28,-7.25,106.8,84,3.8
1/11/2018,10:47:55,-8.85,118.94,101,3.5
1/11/2018,11:36:19,3.92,126.6,29,4.3
1/11/2018,13:09:06,1.18,121.76,10,3.3
1/11/2018,14:03:49,-8.64,118.33,120,4.1
1/11/2018,14:23:14,0.93,121.16,32,2.2
1/11/2018,17:38:05,-9.1,117.68,36,3.7
1/11/2018,18:19:23,-3.28,131.03,26,3.6
1/11/2018,18:34:02,0.5,122.33,71,4.1
1/11/2018,19:08:23,-0.26,122.78,10,3.2
1/11/2018,19:46:15,1.47,122.2,10,3.7
1/11/2018,20:04:52,3.23,98.3,110,4.0
1/11/2018,21:10:14,1.7,126.13,10,4.0
1/11/2018,21:12:48,0.6,122.32,58,3.4
1/11/2018,22:17:24,-0.98,131.06,11,2.9
1/11/2018,22:25:49,0.01,126.98,103,3.6
1/11/2018,22:49:07,-0.04,122.98,146,2.3
1/12/2018,01:49:07,1.84,126.46,10,4.3
1/12/2018,02:18:18,1.76,98.27,15,3.4
1/12/2018,04:42:17,-9.38,114.14,10,3.5
1/12/2018,05:37:59,-0.24,99.45,10,3.3
1/12/2018,06:13:14,-5.51,129.31,274,4.5
1/12/2018,07:09:36,1.05,124.08,10,3.0
1/12/2018,07:23:49,-0.11,123.11,98,2.9
1/12/2018,07:50:35,0.5,98.1,21,4.2
1/12/2018,10:24:58,-3.34,131.22,32,4.3
1/12/2018,13:09:28,-8.48,123.82,10,2.9
1/12/2018,13:57:59,-3.49,134.4,49,3.9
1/12/2018,14:10:56,0.97,121.99,29,2.6
1/12/2018,15:45:27,-3.59,127.82,12,3.1
1/12/2018,16:24:52,-0.11,122.84,140,3.3
1/12/2018,16:50:46,2.69,128.47,236,4.1
1/12/2018,21:49:04,-10.13,122.88,65,4.7
1/13/2018,00:11:34,-6.61,129.46,25,4.7
1/13/2018,01:11:02,-8.62,116.28,57,3.2
1/13/2018,01:43:12,0.78,121.26,10,3.3
1/13/2018,02:39:56,2.55,98.98,151,3.7
1/13/2018,03:08:21,-0.61,131.45,13,2.8
1/13/2018,03:13:23,-0.48,124.11,10,3.2
1/13/2018,03:34:09,-9.91,121.74,53,3.4
1/13/2018,04:16:13,-0.48,125.15,10,3.3
1/13/2018,05:30:45,-1.81,129.94,10,3.3
1/13/2018,05:38:11,-2.56,126.86,10,4.4
1/13/2018,05:52:17,0.07,123.41,13,2.7
1/13/2018,05:53:11,-7.84,128.67,10,4.5
1/13/2018,05:59:21,-0.44,125.29,10,3.7
1/13/2018,06:17:36,-3.66,101.67,10,3.6
1/13/2018,07:11:26,-5.06,102.96,69,4.9
1/13/2018,09:38:32,1.86,98.57,10,3.3
1/13/2018,12:09:05,-7.73,123.97,227,2.8
1/13/2018,12:28:55,-1.29,120.48,10,3.0
1/13/2018,13:01:52,-8.32,109.03,29,3.4
1/13/2018,13:21:35,-9.09,111.88,60,3.5
1/13/2018,14:02:57,5.33,94.38,93,4.5
1/13/2018,14:15:57,-0.28,122.95,20,3.1
1/13/2018,15:56:57,-7.85,107.3,27,3.7
1/13/2018,19:42:59,3.6,126.81,14,3.9
1/13/2018,21:58:59,0.09,132.35,10,3.1
1/13/2018,22:17:06,-8.35,119.58,10,3.2
1/13/2018,22:24:48,-0.32,126.91,23,2.7
1/13/2018,22:28:04,-0.67,127.92,58,2.9
1/14/2018,00:49:20,0.36,122.03,24,1.9
1/14/2018,00:54:07,-0.43,119.28,44,2.8
1/14/2018,01:32:57,-9.68,115.97,18,3.2
1/14/2018,02:14:54,-8.6,124.83,10,2.6
1/14/2018,03:37:37,-4.17,123.36,60,4.0
1/14/2018,03:39:24,-6.21,130.61,172,3.7
1/14/2018,03:41:18,-0.13,123.02,96,2.1
1/14/2018,04:11:47,0.46,122.46,11,2.2
1/14/2018,04:42:48,-9.43,117.74,26,3.1
1/14/2018,04:44:54,-9.38,117.78,25,2.4
1/14/2018,04:53:58,-3.72,101.52,45,4.4
1/14/2018,06:38:33,-0.08,123.02,139,2.3
1/14/2018,07:47:49,-0.31,122.84,55,2.4
1/14/2018,08:08:48,1.48,126.59,10,3.5
1/14/2018,10:50:55,-10.47,118.62,103,4.3
1/14/2018,11:18:20,-0.6,123.98,13,3.6
1/14/2018,12:50:06,-7.18,129.71,162,4.4
1/14/2018,13:20:15,-0.05,123.36,116,2.3
1/14/2018,13:34:32,-8.17,108.1,26,3.0
1/14/2018,16:59:42,-8.82,123.96,94,3.3
1/14/2018,19:11:55,-6.44,103.24,64,4.3
1/14/2018,20:05:28,-0.56,122.95,49,2.3
1/14/2018,20:17:10,0.65,122.21,84,1.8
1/14/2018,21:44:47,1.6,126.0,82,4.7
1/14/2018,22:06:56,-8.48,111.51,11,3.2
1/14/2018,22:23:24,1.34,121.57,10,3.1
1/15/2018,00:13:25,2.52,128.07,127,4.4
1/15/2018,00:16:14,-8.88,117.02,15,2.4
1/15/2018,00:46:52,-0.22,133.14,10,3.3
1/15/2018,06:31:51,0.51,123.64,242,5.1
1/15/2018,08:23:54,-4.81,102.61,36,4.4
1/15/2018,09:18:01,0.36,121.16,10,2.7
1/15/2018,10:05:51,-3.0,127.98,19,4.0
1/15/2018,10:59:56,-4.89,102.79,33,3.9
1/15/2018,11:02:42,-9.36,114.82,10,3.2
1/15/2018,11:13:15,-4.85,131.31,10,3.9
1/15/2018,11:36:14,-0.32,122.95,12,3.1
1/15/2018,12:14:28,-8.83,122.0,10,2.5
1/15/2018,14:03:05,-3.01,128.04,10,2.8
1/15/2018,14:12:54,0.23,97.52,14,2.5
1/15/2018,14:15:01,-9.6,107.44,27,4.8
1/15/2018,14:37:28,-8.94,124.1,108,3.8
1/15/2018,15:39:58,1.41,99.44,10,3.1
1/15/2018,15:55:42,-8.78,123.18,141,3.6
1/15/2018,16:00:40,-2.87,135.65,16,4.0
1/15/2018,16:11:10,-5.72,110.38,529,4.6
1/15/2018,16:47:14,-11.01,116.17,10,3.5
1/15/2018,16:49:56,0.53,99.32,265,3.2
1/15/2018,17:08:34,0.17,125.88,10,3.3
1/15/2018,17:09:04,-9.28,123.64,50,2.5
1/15/2018,17:18:01,1.67,120.97,10,2.3
1/15/2018,17:29:59,-0.04,123.25,144,3.4
1/15/2018,17:52:38,-3.26,104.14,338,4.5
1/15/2018,18:14:49,0.25,97.36,37,2.3
1/15/2018,18:23:29,0.22,125.94,35,3.0
1/15/2018,18:42:33,-0.35,123.15,10,2.4
1/15/2018,19:07:58,0.68,121.59,72,2.5
1/15/2018,19:13:10,-0.89,130.89,10,2.4
1/15/2018,19:31:23,-1.25,98.88,27,2.9
1/15/2018,19:40:39,-7.41,107.72,10,2.7
1/15/2018,20:03:42,-6.0,106.3,14,2.9
1/15/2018,21:29:18,0.28,121.51,127,2.2
1/15/2018,21:57:32,-9.33,124.29,19,2.6
1/15/2018,22:58:11,-7.86,105.93,10,3.4
1/15/2018,23:31:05,-0.27,121.98,13,2.1
1/16/2018,00:44:54,-2.75,127.83,29,2.6
1/16/2018,04:05:25,-3.47,126.7,38,4.2
1/16/2018,14:28:52,-9.41,107.32,10,3.6
1/16/2018,15:17:40,-1.29,120.66,10,2.9
1/16/2018,15:20:07,-9.21,119.06,73,3.5
1/16/2018,15:40:25,0.25,129.57,10,3.8
1/16/2018,15:53:04,2.38,98.96,141,3.7
1/16/2018,18:01:29,-9.73,122.54,94,3.8
1/16/2018,18:52:54,-9.75,124.44,43,3.7
1/16/2018,19:43:44,-7.66,106.72,27,3.4
1/16/2018,20:34:07,0.06,125.85,10,3.6
1/16/2018,21:18:15,4.43,96.53,10,3.8
1/16/2018,22:16:01,-9.65,122.99,91,3.9
1/16/2018,23:05:03,-8.98,117.86,16,3.2
1/17/2018,01:39:08,-9.3,117.48,47,3.4
1/17/2018,01:47:28,-8.92,124.02,20,2.6
1/17/2018,01:51:04,-8.77,120.45,130,3.8
1/17/2018,02:34:17,-8.27,115.46,10,2.5
1/17/2018,02:47:45,-2.18,119.03,11,4.7
1/17/2018,02:48:38,-3.17,127.21,52,4.1
1/17/2018,04:25:50,-0.45,119.82,10,4.2
1/17/2018,08:21:33,-8.72,119.2,137,4.0
1/17/2018,08:44:07,1.2,121.41,10,3.6
1/17/2018,09:56:27,-10.26,124.72,21,3.1
1/17/2018,13:25:28,5.0,94.3,47,4.9
1/17/2018,14:35:24,-7.19,129.54,177,4.9
1/17/2018,15:31:42,-9.06,124.37,10,2.7
1/17/2018,15:59:22,1.96,98.92,59,3.1
1/17/2018,16:03:25,-5.66,105.24,10,3.5
1/17/2018,16:35:16,-3.17,129.53,10,3.5
1/17/2018,17:12:15,-3.86,127.67,10,2.6
1/17/2018,18:19:42,-4.41,138.42,162,4.5
1/17/2018,22:32:37,-0.82,120.33,10,3.9
1/17/2018,22:42:14,-0.96,122.82,129,2.6
1/17/2018,23:42:11,0.58,98.19,17,3.8
1/18/2018,01:01:02,-7.01,127.07,400,4.8
1/18/2018,01:41:03,2.16,121.0,13,4.3
1/18/2018,02:34:28,-8.66,118.36,101,2.6
1/18/2018,02:39:01,-8.18,119.98,174,3.8
1/18/2018,08:51:42,-0.12,122.95,77,3.4
1/18/2018,10:40:45,-6.32,130.28,163,4.5
1/18/2018,11:19:25,-0.23,122.47,11,2.5
1/18/2018,12:05:08,-9.81,119.46,32,3.6
1/18/2018,12:11:10,4.0,126.73,59,4.5
1/18/2018,12:12:57,-6.35,101.93,10,4.3
1/18/2018,12:16:19,-3.65,101.3,10,3.6
1/18/2018,12:34:06,-7.94,117.59,22,3.2
1/18/2018,14:30:53,-3.88,131.75,101,3.9
1/18/2018,14:31:56,0.76,126.49,43,4.3
1/18/2018,14:43:38,-5.29,120.9,23,3.0
1/18/2018,15:23:07,1.68,123.02,26,2.6
1/18/2018,17:04:46,-0.08,97.9,37,2.8
1/18/2018,17:26:13,0.43,124.43,10,2.5
1/18/2018,17:48:40,-6.41,132.72,62,5.7
1/18/2018,18:03:27,-9.32,110.48,10,3.4
1/18/2018,19:08:00,-7.29,106.6,170,3.1
1/18/2018,20:45:29,-2.26,131.69,10,2.9
1/18/2018,21:54:06,-8.51,108.82,53,3.3
1/18/2018,23:41:35,0.29,122.12,27,1.8
1/19/2018,00:48:20,-0.1,121.59,18,2.5
1/19/2018,01:03:51,1.59,126.32,10,4.6
1/19/2018,03:04:47,0.15,124.04,105,3.4
1/19/2018,04:12:28,0.88,122.54,15,2.4
1/19/2018,04:28:54,-0.57,131.27,10,2.3
1/19/2018,04:35:23,0.86,121.81,160,1.9
1/19/2018,09:36:04,0.11,121.8,133,2.2
1/19/2018,12:53:47,-7.71,106.84,19,2.6
1/19/2018,14:13:24,-11.08,118.52,10,3.6
1/19/2018,14:17:35,-0.8,124.07,10,3.0
1/19/2018,14:25:41,-2.46,131.87,140,3.0
1/19/2018,16:12:26,-0.53,119.71,10,2.8
1/19/2018,16:29:47,-2.62,129.4,10,3.1
1/19/2018,17:49:45,0.16,123.81,127,3.5
1/19/2018,18:14:59,-7.58,106.74,27,2.8
1/19/2018,18:46:07,-1.33,99.19,83,3.0
1/19/2018,19:01:41,1.99,121.55,10,2.5
1/19/2018,19:27:14,-8.09,123.98,173,3.0
1/19/2018,19:55:56,1.35,97.06,28,4.1
1/19/2018,21:14:32,1.97,126.79,93,3.7
1/19/2018,21:17:51,1.78,126.41,77,3.3
1/19/2018,21:24:24,-1.32,120.46,10,3.0
1/20/2018,01:23:20,-0.1,123.25,144,3.2
1/20/2018,01:55:31,-7.82,108.04,51,2.1
